         ps   /test_counter_3bit_asydown/button1            
                   /test_counter_3bit_asydown/led1          
                     /test_counter_3bit_asydown/led2        
                       /test_counter_3bit_asydown/led3      
          0                                    1 0 0 0 
          9                                    0 0 0 0 
         11                                    1 1 1 1 
         12                                    0 1 1 1 
         13                                    1 0 1 1 
         15                                    0 0 1 1 
         18                                    1 1 0 1 
         19                                    0 1 0 1 
         20                                    1 0 0 1 
         21                                    0 0 0 1 
         22                                    1 1 1 0 
         23                                    0 1 1 0 
         27                                    1 0 1 0 
         29                                    0 0 1 0 
         31                                    1 1 0 0 
         32                                    0 1 0 0 
         38                                    1 0 0 0 
         39                                    0 0 0 0 
         40                                    1 1 1 1 
         46                                    0 1 1 1 
         48                                    1 0 1 1 
         49                                    0 0 1 1 
         50                                    1 1 0 1 
         54                                    0 1 0 1 
         57                                    1 0 0 1 
         64                                    0 0 0 1 
         68                                    1 1 1 0 
         69                                    0 1 1 0 
         72                                    1 0 1 0 
         74                                    0 0 1 0 
         77                                    1 1 0 0 
         78                                    0 1 0 0 
         80                                    1 0 0 0 
         84                                    0 0 0 0 
         86                                    1 1 1 1 
         87                                    0 1 1 1 
         88                                    1 0 1 1 
         91                                    0 0 1 1 
         92                                    1 1 0 1 
         93                                    0 1 0 1 
         95                                    1 0 0 1 
         99                                    0 0 0 1 
        100                                    1 1 1 0 
        104                                    0 1 1 0 
        105                                    1 0 1 0 
        106                                    0 0 1 0 
        107                                    1 1 0 0 
        109                                    0 1 0 0 
        110                                    1 0 0 0 
        115                                    0 0 0 0 
        118                                    1 1 1 1 
        119                                    0 1 1 1 
        120                                    1 0 1 1 
        121                                    0 0 1 1 
        123                                    1 1 0 1 
        125                                    0 1 0 1 
        126                                    1 0 0 1 
        130                                    0 0 0 1 
        133                                    1 1 1 0 
        134                                    0 1 1 0 
        135                                    1 0 1 0 
        139                                    0 0 1 0 
        140                                    1 1 0 0 
        141                                    0 1 0 0 
        146                                    1 0 0 0 
        148                                    0 0 0 0 
        149                                    1 1 1 1 
        151                                    0 1 1 1 
        153                                    1 0 1 1 
        157                                    0 0 1 1 
        158                                    1 1 0 1 
        159                                    0 1 0 1 
        162                                    1 0 0 1 
        163                                    0 0 0 1 
        164                                    1 1 1 0 
        167                                    0 1 1 0 
        169                                    1 0 1 0 
        170                                    0 0 1 0 
        172                                    1 1 0 0 
        177                                    0 1 0 0 
        178                                    1 0 0 0 
        181                                    0 0 0 0 
        183                                    1 1 1 1 
        187                                    0 1 1 1 
        188                                    1 0 1 1 
        189                                    0 0 1 1 
        190                                    1 1 0 1 
        191                                    0 1 0 1 
        192                                    1 0 0 1 
        193                                    0 0 0 1 
        196                                    1 1 1 0 
        199                                    0 1 1 0 
        200                                    1 0 1 0 
        202                                    0 0 1 0 
        204                                    1 1 0 0 
        208                                    0 1 0 0 
        210                                    1 0 0 0 
        211                                    0 0 0 0 
        212                                    1 1 1 1 
        216                                    0 1 1 1 
        217                                    1 0 1 1 
        218                                    0 0 1 1 
        220                                    1 1 0 1 
        226                                    0 1 0 1 
        233                                    1 0 0 1 
        236                                    0 0 0 1 
        237                                    1 1 1 0 
        238                                    0 1 1 0 
