         ps   /test_shiftregistersipo_4bit/button1  /test_shiftregistersipo_4bit/out4        
                    /test_shiftregistersipo_4bit/in1                                         
                     /test_shiftregistersipo_4bit/out1                                       
                       /test_shiftregistersipo_4bit/out2                                     
                         /test_shiftregistersipo_4bit/out3                                   
          0                                      0 0 0 0 0                          0 
         10                                      1 0 0 0 0                          0 
         20                                      0 0 0 0 0                          0 
         30                                      1 0 0 0 0                          0 
         40                                      0 0 0 0 0                          0 
         50                                      1 0 0 0 0                          0 
         60                                      0 0 0 0 0                          0 
         70                                      1 0 0 0 0                          0 
         80                                      0 1 0 0 0                          0 
         90                                      1 1 1 0 0                          0 
        100                                      0 1 1 0 0                          0 
        110                                      1 1 1 1 0                          0 
        120                                      0 1 1 1 0                          0 
        130                                      1 1 1 1 1                          0 
        140                                      0 1 1 1 1                          0 
        150                                      1 1 1 1 1                          1 
        160                                      0 0 1 1 1                          1 
        170                                      1 0 0 1 1                          1 
        180                                      0 0 0 1 1                          1 
        190                                      1 0 0 0 1                          1 
        200                                      0 0 0 0 1                          1 
        210                                      1 0 0 0 0                          1 
        220                                      0 0 0 0 0                          1 
        230                                      1 0 0 0 0                          0 
        240                                      0 1 0 0 0                          0 
        250                                      1 1 1 0 0                          0 
        260                                      0 1 1 0 0                          0 
        270                                      1 1 1 1 0                          0 
        280                                      0 1 1 1 0                          0 
        290                                      1 1 1 1 1                          0 
        300                                      0 1 1 1 1                          0 
        310                                      1 1 1 1 1                          1 
        320                                      0 0 1 1 1                          1 
        330                                      1 0 0 1 1                          1 
        340                                      0 0 0 1 1                          1 
        350                                      1 0 0 0 1                          1 
        360                                      0 0 0 0 1                          1 
        370                                      1 0 0 0 0                          1 
        380                                      0 0 0 0 0                          1 
        390                                      1 0 0 0 0                          0 
        400                                      0 1 0 0 0                          0 
        410                                      1 1 1 0 0                          0 
        420                                      0 1 1 0 0                          0 
        430                                      1 1 1 1 0                          0 
        440                                      0 1 1 1 0                          0 
        450                                      1 1 1 1 1                          0 
        460                                      0 1 1 1 1                          0 
        470                                      1 1 1 1 1                          1 
        480                                      0 0 1 1 1                          1 
        490                                      1 0 0 1 1                          1 
        500                                      0 0 0 1 1                          1 
        510                                      1 0 0 0 1                          1 
        520                                      0 0 0 0 1                          1 
        530                                      1 0 0 0 0                          1 
        540                                      0 0 0 0 0                          1 
        550                                      1 0 0 0 0                          0 
        560                                      0 1 0 0 0                          0 
        570                                      1 1 1 0 0                          0 
        580                                      0 1 1 0 0                          0 
        590                                      1 1 1 1 0                          0 
        600                                      0 1 1 1 0                          0 
        610                                      1 1 1 1 1                          0 
        620                                      0 1 1 1 1                          0 
        630                                      1 1 1 1 1                          1 
        640                                      0 0 1 1 1                          1 
        650                                      1 0 0 1 1                          1 
        660                                      0 0 0 1 1                          1 
        670                                      1 0 0 0 1                          1 
        680                                      0 0 0 0 1                          1 
        690                                      1 0 0 0 0                          1 
        700                                      0 0 0 0 0                          1 
        710                                      1 0 0 0 0                          0 
        720                                      0 1 0 0 0                          0 
        730                                      1 1 1 0 0                          0 
        740                                      0 1 1 0 0                          0 
        750                                      1 1 1 1 0                          0 
        760                                      0 1 1 1 0                          0 
        770                                      1 1 1 1 1                          0 
        780                                      0 1 1 1 1                          0 
        790                                      1 1 1 1 1                          1 
        800                                      0 0 1 1 1                          1 
        810                                      1 0 0 1 1                          1 
        820                                      0 0 0 1 1                          1 
        830                                      1 0 0 0 1                          1 
        840                                      0 0 0 0 1                          1 
        850                                      1 0 0 0 0                          1 
        860                                      0 0 0 0 0                          1 
        870                                      1 0 0 0 0                          0 
        880                                      0 1 0 0 0                          0 
        890                                      1 1 1 0 0                          0 
        900                                      0 1 1 0 0                          0 
        910                                      1 1 1 1 0                          0 
        920                                      0 1 1 1 0                          0 
        930                                      1 1 1 1 1                          0 
        940                                      0 1 1 1 1                          0 
        950                                      1 1 1 1 1                          1 
        960                                      0 0 1 1 1                          1 
        970                                      1 0 0 1 1                          1 
        980                                      0 0 0 1 1                          1 
        990                                      1 0 0 0 1                          1 
       1000                                      0 0 0 0 1                          1 
       1010                                      1 0 0 0 0                          1 
       1020                                      0 0 0 0 0                          1 
       1030                                      1 0 0 0 0                          0 
       1040                                      0 1 0 0 0                          0 
       1050                                      1 1 1 0 0                          0 
       1060                                      0 1 1 0 0                          0 
       1070                                      1 1 1 1 0                          0 
       1080                                      0 1 1 1 0                          0 
       1090                                      1 1 1 1 1                          0 
       1100                                      0 1 1 1 1                          0 
       1110                                      1 1 1 1 1                          1 
       1120                                      0 0 1 1 1                          1 
       1130                                      1 0 0 1 1                          1 
       1140                                      0 0 0 1 1                          1 
       1150                                      1 0 0 0 1                          1 
       1160                                      0 0 0 0 1                          1 
       1170                                      1 0 0 0 0                          1 
       1180                                      0 0 0 0 0                          1 
       1190                                      1 0 0 0 0                          0 
       1200                                      0 1 0 0 0                          0 
       1210                                      1 1 1 0 0                          0 
       1220                                      0 1 1 0 0                          0 
       1230                                      1 1 1 1 0                          0 
       1240                                      0 1 1 1 0                          0 
       1250                                      1 1 1 1 1                          0 
       1260                                      0 1 1 1 1                          0 
       1270                                      1 1 1 1 1                          1 
       1280                                      0 0 1 1 1                          1 
       1290                                      1 0 0 1 1                          1 
       1300                                      0 0 0 1 1                          1 
       1310                                      1 0 0 0 1                          1 
       1320                                      0 0 0 0 1                          1 
       1330                                      1 0 0 0 0                          1 
       1340                                      0 0 0 0 0                          1 
       1350                                      1 0 0 0 0                          0 
       1360                                      0 1 0 0 0                          0 
       1370                                      1 1 1 0 0                          0 
       1380                                      0 1 1 0 0                          0 
       1390                                      1 1 1 1 0                          0 
       1400                                      0 1 1 1 0                          0 
       1410                                      1 1 1 1 1                          0 
       1420                                      0 1 1 1 1                          0 
       1430                                      1 1 1 1 1                          1 
       1440                                      0 0 1 1 1                          1 
       1450                                      1 0 0 1 1                          1 
       1460                                      0 0 0 1 1                          1 
       1470                                      1 0 0 0 1                          1 
       1480                                      0 0 0 0 1                          1 
       1490                                      1 0 0 0 0                          1 
       1500                                      0 0 0 0 0                          1 
       1510                                      1 0 0 0 0                          0 
       1520                                      0 1 0 0 0                          0 
       1530                                      1 1 1 0 0                          0 
       1540                                      0 1 1 0 0                          0 
       1550                                      1 1 1 1 0                          0 
       1560                                      0 1 1 1 0                          0 
       1570                                      1 1 1 1 1                          0 
       1580                                      0 1 1 1 1                          0 
       1590                                      1 1 1 1 1                          1 
       1600                                      0 0 1 1 1                          1 
       1610                                      1 0 0 1 1                          1 
       1620                                      0 0 0 1 1                          1 
       1630                                      1 0 0 0 1                          1 
       1640                                      0 0 0 0 1                          1 
       1650                                      1 0 0 0 0                          1 
       1660                                      0 0 0 0 0                          1 
       1670                                      1 0 0 0 0                          0 
       1680                                      0 1 0 0 0                          0 
       1690                                      1 1 1 0 0                          0 
       1700                                      0 1 1 0 0                          0 
       1710                                      1 1 1 1 0                          0 
       1720                                      0 1 1 1 0                          0 
       1730                                      1 1 1 1 1                          0 
       1740                                      0 1 1 1 1                          0 
       1750                                      1 1 1 1 1                          1 
       1760                                      0 0 1 1 1                          1 
       1770                                      1 0 0 1 1                          1 
       1780                                      0 0 0 1 1                          1 
       1790                                      1 0 0 0 1                          1 
       1800                                      0 0 0 0 1                          1 
       1810                                      1 0 0 0 0                          1 
       1820                                      0 0 0 0 0                          1 
       1830                                      1 0 0 0 0                          0 
       1840                                      0 1 0 0 0                          0 
       1850                                      1 1 1 0 0                          0 
       1860                                      0 1 1 0 0                          0 
       1870                                      1 1 1 1 0                          0 
       1880                                      0 1 1 1 0                          0 
       1890                                      1 1 1 1 1                          0 
       1900                                      0 1 1 1 1                          0 
       1910                                      1 1 1 1 1                          1 
       1920                                      0 0 1 1 1                          1 
       1930                                      1 0 0 1 1                          1 
       1940                                      0 0 0 1 1                          1 
       1950                                      1 0 0 0 1                          1 
       1960                                      0 0 0 0 1                          1 
       1970                                      1 0 0 0 0                          1 
       1980                                      0 0 0 0 0                          1 
       1990                                      1 0 0 0 0                          0 
       2000                                      0 1 0 0 0                          0 
       2010                                      1 1 1 0 0                          0 
       2020                                      0 1 1 0 0                          0 
       2030                                      1 1 1 1 0                          0 
       2040                                      0 1 1 1 0                          0 
       2050                                      1 1 1 1 1                          0 
       2060                                      0 1 1 1 1                          0 
       2070                                      1 1 1 1 1                          1 
       2080                                      0 0 1 1 1                          1 
       2090                                      1 0 0 1 1                          1 
       2100                                      0 0 0 1 1                          1 
       2110                                      1 0 0 0 1                          1 
       2120                                      0 0 0 0 1                          1 
       2130                                      1 0 0 0 0                          1 
       2140                                      0 0 0 0 0                          1 
       2150                                      1 0 0 0 0                          0 
       2160                                      0 1 0 0 0                          0 
       2170                                      1 1 1 0 0                          0 
       2180                                      0 1 1 0 0                          0 
       2190                                      1 1 1 1 0                          0 
       2200                                      0 1 1 1 0                          0 
       2210                                      1 1 1 1 1                          0 
       2220                                      0 1 1 1 1                          0 
       2230                                      1 1 1 1 1                          1 
       2240                                      0 0 1 1 1                          1 
       2250                                      1 0 0 1 1                          1 
       2260                                      0 0 0 1 1                          1 
       2270                                      1 0 0 0 1                          1 
       2280                                      0 0 0 0 1                          1 
       2290                                      1 0 0 0 0                          1 
       2300                                      0 0 0 0 0                          1 
       2310                                      1 0 0 0 0                          0 
       2320                                      0 1 0 0 0                          0 
       2330                                      1 1 1 0 0                          0 
       2340                                      0 1 1 0 0                          0 
       2350                                      1 1 1 1 0                          0 
       2360                                      0 1 1 1 0                          0 
       2370                                      1 1 1 1 1                          0 
       2380                                      0 1 1 1 1                          0 
       2390                                      1 1 1 1 1                          1 
       2400                                      0 0 1 1 1                          1 
       2410                                      1 0 0 1 1                          1 
       2420                                      0 0 0 1 1                          1 
       2430                                      1 0 0 0 1                          1 
       2440                                      0 0 0 0 1                          1 
       2450                                      1 0 0 0 0                          1 
       2460                                      0 0 0 0 0                          1 
       2470                                      1 0 0 0 0                          0 
       2480                                      0 1 0 0 0                          0 
       2490                                      1 1 1 0 0                          0 
       2500                                      0 1 1 0 0                          0 
       2510                                      1 1 1 1 0                          0 
       2520                                      0 1 1 1 0                          0 
       2530                                      1 1 1 1 1                          0 
       2540                                      0 1 1 1 1                          0 
       2550                                      1 1 1 1 1                          1 
       2560                                      0 0 1 1 1                          1 
       2570                                      1 0 0 1 1                          1 
       2580                                      0 0 0 1 1                          1 
       2590                                      1 0 0 0 1                          1 
       2600                                      0 0 0 0 1                          1 
       2610                                      1 0 0 0 0                          1 
       2620                                      0 0 0 0 0                          1 
       2630                                      1 0 0 0 0                          0 
       2640                                      0 1 0 0 0                          0 
       2650                                      1 1 1 0 0                          0 
       2660                                      0 1 1 0 0                          0 
       2670                                      1 1 1 1 0                          0 
       2680                                      0 1 1 1 0                          0 
       2690                                      1 1 1 1 1                          0 
       2700                                      0 1 1 1 1                          0 
       2710                                      1 1 1 1 1                          1 
       2720                                      0 0 1 1 1                          1 
       2730                                      1 0 0 1 1                          1 
       2740                                      0 0 0 1 1                          1 
       2750                                      1 0 0 0 1                          1 
       2760                                      0 0 0 0 1                          1 
       2770                                      1 0 0 0 0                          1 
       2780                                      0 0 0 0 0                          1 
       2790                                      1 0 0 0 0                          0 
       2800                                      0 1 0 0 0                          0 
       2810                                      1 1 1 0 0                          0 
       2820                                      0 1 1 0 0                          0 
       2830                                      1 1 1 1 0                          0 
       2840                                      0 1 1 1 0                          0 
       2850                                      1 1 1 1 1                          0 
       2860                                      0 1 1 1 1                          0 
