         ps   /test_shiftregistersipo_4bit/button1  /test_shiftregistersipo_4bit/out4        
                    /test_shiftregistersipo_4bit/in1                                         
                     /test_shiftregistersipo_4bit/out1                                       
                       /test_shiftregistersipo_4bit/out2                                     
                         /test_shiftregistersipo_4bit/out3                                   
          0                                      0 0 0 0 0                          0 
       5000                                      1 0 0 0 0                          0 
      10000                                      0 1 0 0 0                          0 
      15000                                      1 1 1 0 0                          0 
      20000                                      0 0 1 0 0                          0 
      25000                                      1 0 0 1 0                          0 
      30000                                      0 1 0 1 0                          0 
      35000                                      1 1 1 0 1                          0 
      40000                                      0 0 1 0 1                          0 
      45000                                      1 0 0 1 0                          1 
      49745                                      1 1 0 1 0                          1 
      50000                                      0 1 0 1 0                          1 
      55000                                      1 1 1 0 1                          0 
      59490                                      1 0 1 0 1                          0 
      60000                                      0 0 1 0 1                          0 
      65000                                      1 0 0 1 0                          1 
      69235                                      1 1 0 1 0                          1 
      70000                                      0 1 0 1 0                          1 
      75000                                      1 1 1 0 1                          0 
      78980                                      1 0 1 0 1                          0 
      80000                                      0 0 1 0 1                          0 
      85000                                      1 0 0 1 0                          1 
      85455                                      1 1 0 1 0                          1 
      90000                                      0 1 0 1 0                          1 
      91930                                      0 0 0 1 0                          1 
      95000                                      1 0 0 0 1                          0 
      98405                                      1 1 0 0 1                          0 
     100000                                      0 1 0 0 1                          0 
     104880                                      0 0 0 0 1                          0 
     105000                                      1 0 0 0 0                          1 
     108211                                      1 1 0 0 0                          1 
     110000                                      0 1 0 0 0                          1 
     111542                                      0 0 0 0 0                          1 
     114873                                      0 1 0 0 0                          1 
     115000                                      1 1 1 0 0                          0 
     118204                                      1 0 1 0 0                          0 
     118573                                      1 1 1 0 0                          0 
     118942                                      1 0 1 0 0                          0 
     119311                                      1 1 1 0 0                          0 
     119680                                      1 0 1 0 0                          0 
     120000                                      0 0 1 0 0                          0 
     121297                                      0 1 1 0 0                          0 
     122914                                      0 0 1 0 0                          0 
     124531                                      0 1 1 0 0                          0 
     125000                                      1 1 1 1 0                          0 
     126148                                      1 0 1 1 0                          0 
     130000                                      0 0 1 1 0                          0 
     132794                                      0 1 1 1 0                          0 
     135000                                      1 1 1 1 1                          0 
     139440                                      1 0 1 1 1                          0 
     140000                                      0 0 1 1 1                          0 
     145000                                      1 0 0 1 1                          1 
     146086                                      1 1 0 1 1                          1 
     150000                                      0 1 0 1 1                          1 
     152732                                      0 0 0 1 1                          1 
     153579                                      0 1 0 1 1                          1 
     154426                                      0 0 0 1 1                          1 
     155000                                      1 0 0 0 1                          1 
     155273                                      1 1 0 0 1                          1 
     156120                                      1 0 0 0 1                          1 
     158161                                      1 1 0 0 1                          1 
     160000                                      0 1 0 0 1                          1 
     160202                                      0 0 0 0 1                          1 
     162243                                      0 1 0 0 1                          1 
     164284                                      0 0 0 0 1                          1 
     165000                                      1 0 0 0 0                          1 
     165957                                      1 1 0 0 0                          1 
     167630                                      1 0 0 0 0                          1 
     169303                                      1 1 0 0 0                          1 
     170000                                      0 1 0 0 0                          1 
     170976                                      0 0 0 0 0                          1 
     175000                                      1 0 0 0 0                          0 
     177526                                      1 1 0 0 0                          0 
     180000                                      0 1 0 0 0                          0 
     184076                                      0 0 0 0 0                          0 
     185000                                      1 0 0 0 0                          0 
     190000                                      0 0 0 0 0                          0 
     190626                                      0 1 0 0 0                          0 
     195000                                      1 1 1 0 0                          0 
     197176                                      1 0 1 0 0                          0 
     198464                                      1 1 1 0 0                          0 
     199752                                      1 0 1 0 0                          0 
     200000                                      0 0 1 0 0                          0 
     201040                                      0 1 1 0 0                          0 
     202328                                      0 0 1 0 0                          0 
     205000                                      1 0 0 1 0                          0 
     210000                                      0 0 0 1 0                          0 
     211429                                      0 1 0 1 0                          0 
     215000                                      1 1 1 0 1                          0 
     220000                                      0 1 1 0 1                          0 
     220530                                      0 0 1 0 1                          0 
     225000                                      1 0 0 1 0                          1 
     229631                                      1 1 0 1 0                          1 
     230000                                      0 1 0 1 0                          1 
     235000                                      1 1 1 0 1                          0 
     238732                                      1 0 1 0 1                          0 
     239849                                      1 1 1 0 1                          0 
     240000                                      0 1 1 0 1                          0 
     240966                                      0 0 1 0 1                          0 
     242083                                      0 1 1 0 1                          0 
     243200                                      0 0 1 0 1                          0 
     245000                                      1 0 0 1 0                          1 
     246190                                      1 1 0 1 0                          1 
     249180                                      1 0 0 1 0                          1 
     250000                                      0 0 0 1 0                          1 
     252170                                      0 1 0 1 0                          1 
     255000                                      1 1 1 0 1                          0 
     255160                                      1 0 1 0 1                          0 
     257814                                      1 1 1 0 1                          0 
     260000                                      0 1 1 0 1                          0 
     260468                                      0 0 1 0 1                          0 
     263122                                      0 1 1 0 1                          0 
     265000                                      1 1 1 1 0                          1 
     265776                                      1 0 1 1 0                          1 
     270000                                      0 0 1 1 0                          1 
     272774                                      0 1 1 1 0                          1 
     275000                                      1 1 1 1 1                          0 
     279772                                      1 0 1 1 1                          0 
     280000                                      0 0 1 1 1                          0 
     285000                                      1 0 0 1 1                          1 
     286770                                      1 1 0 1 1                          1 
     290000                                      0 1 0 1 1                          1 
     293768                                      0 0 0 1 1                          1 
     295000                                      1 0 0 0 1                          1 
     300000                                      0 0 0 0 1                          1 
     303271                                      0 1 0 0 1                          1 
     305000                                      1 1 1 0 0                          1 
     310000                                      0 1 1 0 0                          1 
     312774                                      0 0 1 0 0                          1 
     315000                                      1 0 0 1 0                          0 
     320000                                      0 0 0 1 0                          0 
     322277                                      0 1 0 1 0                          0 
     325000                                      1 1 1 0 1                          0 
     330000                                      0 1 1 0 1                          0 
     331780                                      0 0 1 0 1                          0 
     332698                                      0 1 1 0 1                          0 
     333616                                      0 0 1 0 1                          0 
     334534                                      0 1 1 0 1                          0 
     335000                                      1 1 1 1 0                          1 
     335452                                      1 0 1 1 0                          1 
     340000                                      0 0 1 1 0                          1 
     344475                                      0 1 1 1 0                          1 
     345000                                      1 1 1 1 1                          0 
     350000                                      0 1 1 1 1                          0 
     353498                                      0 0 1 1 1                          0 
     355000                                      1 0 0 1 1                          1 
     360000                                      0 0 0 1 1                          1 
     362521                                      0 1 0 1 1                          1 
     365000                                      1 1 1 0 1                          1 
     370000                                      0 1 1 0 1                          1 
     371544                                      0 0 1 0 1                          1 
     375000                                      1 0 0 1 0                          1 
     380000                                      0 0 0 1 0                          1 
     381141                                      0 1 0 1 0                          1 
     385000                                      1 1 1 0 1                          0 
     390000                                      0 1 1 0 1                          0 
     390738                                      0 0 1 0 1                          0 
     395000                                      1 0 0 1 0                          1 
     400000                                      0 0 0 1 0                          1 
     400335                                      0 1 0 1 0                          1 
     405000                                      1 1 1 0 1                          0 
     409932                                      1 0 1 0 1                          0 
     410000                                      0 0 1 0 1                          0 
     415000                                      1 0 0 1 0                          1 
     419082                                      1 1 0 1 0                          1 
     420000                                      0 1 0 1 0                          1 
     425000                                      1 1 1 0 1                          0 
     428232                                      1 0 1 0 1                          0 
     430000                                      0 0 1 0 1                          0 
     435000                                      1 0 0 1 0                          1 
     437382                                      1 1 0 1 0                          1 
     440000                                      0 1 0 1 0                          1 
     445000                                      1 1 1 0 1                          0 
     446532                                      1 0 1 0 1                          0 
     450000                                      0 0 1 0 1                          0 
     450944                                      0 1 1 0 1                          0 
     455000                                      1 1 1 1 0                          1 
     455356                                      1 0 1 1 0                          1 
     459768                                      1 1 1 1 0                          1 
     460000                                      0 1 1 1 0                          1 
     464180                                      0 0 1 1 0                          1 
     464915                                      0 1 1 1 0                          1 
     465000                                      1 1 1 1 1                          0 
     465650                                      1 0 1 1 1                          0 
     466385                                      1 1 1 1 1                          0 
     467120                                      1 0 1 1 1                          0 
     470000                                      0 0 1 1 1                          0 
     475000                                      1 0 0 1 1                          1 
     476364                                      1 1 0 1 1                          1 
     480000                                      0 1 0 1 1                          1 
     485000                                      1 1 1 0 1                          1 
     485608                                      1 0 1 0 1                          1 
     490000                                      0 0 1 0 1                          1 
     494852                                      0 1 1 0 1                          1 
     495000                                      1 1 1 1 0                          1 
     500000                                      0 1 1 1 0                          1 
     504096                                      0 0 1 1 0                          1 
     504978                                      0 1 1 1 0                          1 
     505000                                      1 1 1 1 1                          0 
     505860                                      1 0 1 1 1                          0 
     506742                                      1 1 1 1 1                          0 
     507624                                      1 0 1 1 1                          0 
     510000                                      0 0 1 1 1                          0 
     515000                                      1 0 0 1 1                          1 
     516706                                      1 1 0 1 1                          1 
     520000                                      0 1 0 1 1                          1 
     525000                                      1 1 1 0 1                          1 
     525788                                      1 0 1 0 1                          1 
     530000                                      0 0 1 0 1                          1 
     534870                                      0 1 1 0 1                          1 
     535000                                      1 1 1 1 0                          1 
     540000                                      0 1 1 1 0                          1 
     543952                                      0 0 1 1 0                          1 
     545000                                      1 0 0 1 1                          0 
     547574                                      1 1 0 1 1                          0 
     550000                                      0 1 0 1 1                          0 
     551196                                      0 0 0 1 1                          0 
     554818                                      0 1 0 1 1                          0 
     555000                                      1 1 1 0 1                          1 
     558440                                      1 0 1 0 1                          1 
     559917                                      1 1 1 0 1                          1 
     560000                                      0 1 1 0 1                          1 
     561394                                      0 0 1 0 1                          1 
     562871                                      0 1 1 0 1                          1 
     564348                                      0 0 1 0 1                          1 
     565000                                      1 0 0 1 0                          1 
     570000                                      0 0 0 1 0                          1 
     573137                                      0 1 0 1 0                          1 
     575000                                      1 1 1 0 1                          0 
     580000                                      0 1 1 0 1                          0 
     581926                                      0 0 1 0 1                          0 
     585000                                      1 0 0 1 0                          1 
     590000                                      0 0 0 1 0                          1 
     590715                                      0 1 0 1 0                          1 
     595000                                      1 1 1 0 1                          0 
     599504                                      1 0 1 0 1                          0 
     599558                                      1 1 1 0 1                          0 
     599612                                      1 0 1 0 1                          0 
     599666                                      1 1 1 0 1                          0 
     599720                                      1 0 1 0 1                          0 
     600000                                      0 0 1 0 1                          0 
     601937                                      0 1 1 0 1                          0 
     604154                                      0 0 1 0 1                          0 
     605000                                      1 0 0 1 0                          1 
     606371                                      1 1 0 1 0                          1 
     608588                                      1 0 0 1 0                          1 
     610000                                      0 0 0 1 0                          1 
     615000                                      1 0 0 0 1                          0 
     618391                                      1 1 0 0 1                          0 
     620000                                      0 1 0 0 1                          0 
     625000                                      1 1 1 0 0                          1 
     628194                                      1 0 1 0 0                          1 
     630000                                      0 0 1 0 0                          1 
     635000                                      1 0 0 1 0                          0 
     637997                                      1 1 0 1 0                          0 
     640000                                      0 1 0 1 0                          0 
     645000                                      1 1 1 0 1                          0 
     647800                                      1 0 1 0 1                          0 
     650000                                      0 0 1 0 1                          0 
     655000                                      1 0 0 1 0                          1 
     656101                                      1 1 0 1 0                          1 
     660000                                      0 1 0 1 0                          1 
     664402                                      0 0 0 1 0                          1 
     665000                                      1 0 0 0 1                          0 
     670000                                      0 0 0 0 1                          0 
     672703                                      0 1 0 0 1                          0 
     675000                                      1 1 1 0 0                          1 
     680000                                      0 1 1 0 0                          1 
     681004                                      0 0 1 0 0                          1 
     681057                                      0 1 1 0 0                          1 
     681110                                      0 0 1 0 0                          1 
     681163                                      0 1 1 0 0                          1 
     681216                                      0 0 1 0 0                          1 
     683679                                      0 1 1 0 0                          1 
     685000                                      1 1 1 1 0                          0 
     686142                                      1 0 1 1 0                          0 
     688605                                      1 1 1 1 0                          0 
     690000                                      0 1 1 1 0                          0 
     691068                                      0 0 1 1 0                          0 
     695000                                      1 0 0 1 1                          0 
     698888                                      1 1 0 1 1                          0 
     700000                                      0 1 0 1 1                          0 
